Lat_S_or_W,Lon_S_or_W,Lat_N_or_E,Lon_N_or_E,YEAR,District,Route,County,Postmile,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT
39.29972428,-123.7939733,39.29972466,-123.7939728,2014,1,1,MEN,50.04,COMPTCHE/UKIAH ROADS,720,7600,6200,820,8500,6800
39.48792679,-123.7873316,39.48792679,-123.7873316,2014,1,1,MEN,R64.858,MAC KERRICHER STATE PARK,850,6000,4400,280,2050,1400
39.46319365,-123.8057484,39.46319365,-123.8057484,2014,1,1,MEN,62.8,"AIRPORT ROAD, FORT BRAGG, NORTH",1200,10000,8100,1050,8000,6500
39.45700452,-123.8060666,39.45700452,-123.8060666,2014,1,1,MEN,62.36,"FORT BRAGG, NORTH CITY LIMITS",1050,12200,10000,1200,10000,8100
39.44419851,-123.8059753,39.44419908,-123.8059753,2014,1,1,MEN,61.471,"FORT BRAGG, REDWOOD AVENUE",1450,16300,14200,1850,21200,18600
39.43270725,-123.8062149,39.43271764,-123.8062143,2014,1,1,MEN,60.68,"FORT BRAGG, CYPRESS AVENUE",2700,31500,27100,1950,22100,19100
39.42013265,-123.8079266,39.42013912,-123.807926,2014,1,1,MEN,59.803,JCT. RTE. 20 EAST,2000,23000,19500,1950,24000,21000
39.41244226,-123.8084013,39.41244221,-123.8084013,2014,1,1,MEN,59.25,SIMPSON LANE,1400,14000,11100,2050,21500,18300
39.3833334,-123.8139332,39.3833334,-123.8139332,2014,1,1,MEN,57.22,GIBNEY LANE,1350,13800,10800,1400,14000,11100
39.37228032,-123.8152306,39.37228032,-123.8152306,2014,1,1,MEN,R55.78,NORTH LIMITS CASPAR,1300,12900,10100,1350,13800,10800
39.6414259,-123.7845806,39.6414259,-123.7845806,2014,1,1,MEN,77.66,"WESTPORT, NORTH",120,1200,850,120,1200,850
39.30652387,-123.7935804,39.30661286,-123.7934546,2014,1,1,MEN,R50.56,"MENDOCINO, JACKSON STREET",720,7700,6000,720,7700,6000
39.19753627,-123.7466641,39.19753627,-123.7466641,2014,1,1,MEN,40.273,JCT. RTE. 128 EAST,150,1350,1100,450,4000,3200
39.26816252,-123.7865649,39.26816252,-123.7865649,2014,1,1,MEN,47.5,"LITTLE RIVER, AIRPORT ROAD",450,4000,3200,720,7600,6200
39.13903378,-123.7243321,39.13903378,-123.7243321,2014,1,1,MEN,34.9,NORTH LIMITS ELK,150,1300,1100,150,1350,1100
38.91817219,-123.7057479,38.91817219,-123.7057479,2014,1,1,MEN,16.166,"POINT ARENA, NORTH CITY LIMITS",260,2600,2150,260,2600,2150
38.91435452,-123.7010269,38.91435452,-123.7010269,2014,1,1,MEN,15.74,"POINT ARENA, LAKE STREET",320,3350,2650,260,2600,2150
38.91091252,-123.6924099,38.91091252,-123.6924099,2014,1,1,MEN,15.18,"POINT ARENA, RIVERSIDE DRIVE",390,4000,3200,320,3350,2650
38.90394328,-123.6915451,38.90394328,-123.6915451,2014,1,1,MEN,14.692,"POINT ARENA, SOUTH CITY LIMITS",240,2450,2000,240,2450,2000
38.80354931,-123.5854077,38.80354931,-123.5854077,2014,1,1,MEN,5.09,FISH ROCK ROAD,350,3400,2550,260,2650,2000
38.77007012,-123.5319102,38.77007012,-123.5319102,2014,1,1,MEN,1.02,NORTH LIMITS GUALALA,570,5200,4300,350,3400,2550
38.7597982,-123.5184323,38.7597982,-123.5184323,2014,1,1,MEN,0,SONOMA/MENDOCINO COUNTY LINE,0,0,0,340,3350,2850
39.31885095,-123.7996619,39.31885095,-123.7996619,2014,1,1,MEN,R51.49,"MENDOCINO, LANSING STREET",970,9900,7900,1550,15600,12200
39.8682699,-123.7150089,39.8682699,-123.7150089,2014,1,1,MEN,105.501,"LEGGETT, JCT. RTE. 271",110,1100,680,100,1000,630
39.86816499,-123.7135928,39.86816499,-123.7135928,2014,1,1,MEN,105.578,"LEGGETT, JCT. RTE. 101",100,1000,630,0,0,0
38.95126113,-123.6904071,38.95126113,-123.6904071,2014,1,1,MEN,19.34,"MOUNTAIN VIEW ROAD, MANCHESTER, SOUTH",220,2200,1850,230,1950,1650
39.78036816,-123.8315892,39.78036816,-123.8315892,2014,1,1,MEN,90.874,JCT. RTE. 211 NORTH,120,1200,800,110,1050,680
33.55670291,-117.8165425,33.55679371,-117.8164884,2014,12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3200,38000,35650,3200,39000,35650
33.46408053,-117.6789155,33.46419038,-117.6789209,2014,12,1,ORA,R0.78,"DANA POINT, DOHENY PARK ROAD",3800,41000,37600,3900,42000,38750
33.4641592,-117.6839853,33.4642514,-117.6839776,2014,12,1,ORA,4.864,BREAK IN ROUTE,0,0,0,0,0,0
33.53174413,-117.7748718,33.53175236,-117.7748639,2014,12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2900,39500,37100,2900,39500,37100
33.54380386,-117.7883576,33.54388958,-117.788323,2014,12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3400,40000,37500,3400,40000,37500
33.4641592,-117.6839853,33.4642514,-117.6839776,2014,12,1,ORA,14.057,BREAK IN ROUTE,0,0,0,0,0,0
33.61618212,-117.9009094,33.61634883,-117.9009109,2014,12,1,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4050,50000,45800,4850,60000,54750
33.61624536,-117.907224,33.61624536,-117.907224,2014,12,1,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4300,53000,48600,4300,53000,48600
33.66818659,-118.0173713,33.66827106,-118.0172877,2014,12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST STREET",4100,39500,37150,4100,40000,37150
33.46700782,-117.6698089,33.46705125,-117.6699099,2014,12,1,ORA,R0.129,"DANA POINT, JCT. RTE. 5",0,0,0,3800,41000,37600
33.54273836,-117.7853185,33.54273836,-117.7853185,2014,12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3050,41500,38600,3450,41500,38600
33.62115559,-117.9293586,33.62127138,-117.9293255,2014,12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4400,54000,49350,5400,53000,49350
33.74078656,-118.0955422,33.74088178,-118.095454,2014,12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4450,49000,46150,4450,49500,46150
33.71155692,-118.0630926,33.71162835,-118.0629818,2014,12,1,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",4950,47500,44400,4900,47500,44400
33.75092967,-118.1060326,33.75099223,-118.1059117,2014,12,1,ORA,33.719,LOS ANGELES/ORANGE COUNTY LINE,4000,45500,41600,0,0,0
33.64848863,-117.9882866,33.64864662,-117.9882006,2014,12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4200,40500,38100,4200,40500,38100
33.6352025,-117.9641509,33.63531631,-117.9640634,2014,12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST STREET",4300,42000,39150,4350,42000,39150
33.63055843,-117.9566233,33.63066656,-117.9565487,2014,12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4250,41000,38650,4250,41000,38650
33.62285816,-117.9392616,33.62303601,-117.9392138,2014,12,1,ORA,20.37,"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",5500,52000,49100,5500,52000,49100
37.67150938,-122.4763308,37.67134038,-122.4762261,2014,4,1,SM,R47.272,"DALY CITY, CLARINADA AVENUE",5600,67000,64000,6000,72000,69000
37.70827108,-122.4713366,37.7082709,-122.4710267,2014,4,1,SF,R0,SAN MATEO/SAN FRANCISCO COUNTY LINE,0,0,0,8400,120000,118000
37.66852523,-122.4851401,37.66844103,-122.4849979,2014,4,1,SM,R46.722,"DALY CITY, JCT. RTE. 35",3600,42500,41000,5600,67000,64000
37.6806383,-122.4719969,37.68149872,-122.4713344,2014,4,1,SM,R48.359,NORTH JCT. RTE. 280,6100,73000,70000,7200,103000,101000
37.65190672,-122.4903664,37.65187379,-122.4901535,2014,4,1,SM,R45.39,"PACIFICA, MONTEREY ROAD",2250,27000,26000,3600,42500,41000
37.70827108,-122.4713366,37.7082709,-122.4710267,2014,4,1,SM,R48.558,SAN MATEO/SAN FRANCISCO COUNTY LINE,7200,103000,101000,0,0,0
37.67774766,-122.4723445,37.677875,-122.4714101,2014,4,1,SM,R47.802,SOUTH JCT. RTE. 280,6000,72000,69000,6100,73000,70000
37.70966122,-122.4712419,37.70966695,-122.4710178,2014,4,1,SF,R0.105,"SAN FRANCISCO, ALEMANY BOULEVARD",8400,120000,118000,7900,113000,111000
37.71257688,-122.4713382,37.7125809,-122.4711182,2014,4,1,SF,R0.312,BROTHERHOOD WAY/STANLEY DRIVE,7900,113000,111000,7400,106000,104000
