CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
164000,03RD,ST,Financial District South,164000,"LINESTRING (-122.40302819316682 37.787024418418966, -122.40257522800539 37.78667820867163)"
171000,03RD,ST,Financial District South,171000,"LINESTRING (-122.39794293881961 37.782997897080236, -122.39738553904088 37.78255359330762)"
170000,03RD,ST,Financial District South,170000,"LINESTRING (-122.39893033171637 37.78378493342819, -122.39794293881961 37.782997897080236)"
174000,03RD,ST,Financial District South,174000,"LINESTRING (-122.39637951941779 37.781750283929924, -122.39584349887906 37.78132125731994)"
168000,03RD,ST,Financial District South,168000,"LINESTRING (-122.40046848439732 37.78503028445486, -122.3994598243438 37.784213640305616)"
175000,03RD,ST,Financial District South,175000,"LINESTRING (-122.39584349887906 37.78132125731994, -122.39551775267738 37.781062140675495)"
172000,03RD,ST,Financial District South,172000,"LINESTRING (-122.39738553904088 37.78255359330762, -122.39684142722312 37.782119121396924)"
173000,03RD,ST,Financial District South,173000,"LINESTRING (-122.39684142722312 37.782119121396924, -122.39637951941779 37.781750283929924)"
169000,03RD,ST,Financial District South,169000,"LINESTRING (-122.3994598243438 37.784213640305616, -122.39893033171637 37.78378493342819)"
166000,03RD,ST,Financial District South,166000,"LINESTRING (-122.40202541968891 37.786248151755245, -122.40148983603457 37.785829214095656)"
176000,03RD,ST,Financial District South,176000,"LINESTRING (-122.39551775267738 37.781062140675495, -122.39506495202258 37.780700560311054)"
178000,03RD,ST,Financial District South,178000,"LINESTRING (-122.39463146332238 37.780354394523904, -122.39430003701878 37.78008973001855)"
163000,03RD,ST,Financial District South,163000,"LINESTRING (-122.40343080167585 37.78764184824398, -122.4033426414218 37.787274627957395, -122.40302819316682 37.787024418418966)"
165000,03RD,ST,Financial District South,165000,"LINESTRING (-122.40257522800539 37.78667820867163, -122.40202541968891 37.786248151755245)"
177000,03RD,ST,Financial District South,177000,"LINESTRING (-122.39506495202258 37.780700560311054, -122.39463146332238 37.780354394523904)"
167000,03RD,ST,Financial District South,167000,"LINESTRING (-122.40148983603457 37.785829214095656, -122.40046848439732 37.78503028445486)"
252000,04TH,ST,Financial District South,252000,"LINESTRING (-122.404266872172 37.78447874460379, -122.40371175342233 37.7840444381193)"
251000,04TH,ST,Financial District South,251000,"LINESTRING (-122.4047950616453 37.78490829998593, -122.404266872172 37.78447874460379)"
249000,04TH,ST,Financial District South,249000,"LINESTRING (-122.40583101150831 37.785743989064436, -122.40523571192135 37.78526509817589)"
253000,04TH,ST,Financial District South,253000,"LINESTRING (-122.40371175342233 37.7840444381193, -122.40270815370037 37.78325923636659)"
254000,04TH,ST,Financial District South,254000,"LINESTRING (-122.40270815370037 37.78325923636659, -122.40169620350235 37.78245274285242)"
255000,04TH,ST,Financial District South,255000,"LINESTRING (-122.40169620350235 37.78245274285242, -122.40115971996607 37.78202426733675)"
