,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PHF,ALPHA,BETA,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO
0,105&10491_AM,105&10491,AM,2016,2,0.348,0.6,3.5,2,3,0.17,7758.62069,28.4670367,18.08851022,10.48354876,0.35830916,0.563893868,7660.13493,6320.848807,5793.641565,382.9306212,9.324705882
1,105&14211_AM,105&14211,AM,2016,6,0.348,0.6,8.5,4,1,0.6,1374.521073,25.21540697,16.90250775,14.94959134,1.427698552,2.12986147,1342.742061,492.1611578,459.1294782,35.81928,0.315166667
11,105+04869_AM,105+04869,AM,2016,8,0.348,0.83,8.5,1,2.254982306,1.0738,10619.07117,67.73,52.75962406,49.48,0.951247601,1.22116109,9359.350223,7463.839934,6847.118463,317.5811451,0.244179549
13,105+04873_AM,105+04873,AM,2016,1,0.348,0.6,8.5,4,1,0.17,862.0689655,45.93,20.64936216,7.18,0.222077074,0.493961989,937.520667,229.83917,180.88075,87.93485,3.11
15,105+05618_AM,105+05618,AM,2016,4,0.348,0.83,5.5,1,3,0.5469,12297.5265,62.48,37.60430939,14.976,0.525192061,0.872612755,11800.52423,7594.111413,7258.430157,51.92240702,1.394221978
16,105+05619_AM,105+05619,AM,2016,1,0.348,0.6,3.5,2,4,0.19,10919.54023,42.76,16.98735786,9.1,0.266604303,0.671087293,14233.55732,7834.00977,7512.75576,200.60858,13.47
17,105+05620_AM,105+05620,AM,2016,3,0.348,0.6,3.5,2,3,0.32,8189.655172,35.72,20.37012387,17.31,0.537513998,0.94255686,8740.572688,4050.228401,3891.83542,132.2057088,4.2684375
18,105+05621_AM,105+05621,AM,2016,6,0.348,0.6,3.5,2,3,0.81,8189.655172,32.25,21.29455866,18.564,1.506976744,2.282273175,7837.593851,3670.868445,3505.199526,145.4117533,4.90617284
19,105+05622_AM,105+05622,AM,2016,1,0.348,0.6,3.5,2,3,0.15,8189.655172,38.59,15.60335253,8.57,0.233221042,0.576799119,10585.82246,5179.72217,4951.50958,136.62404,12.33
20,105+05623_AM,105+05623,AM,2016,2,0.348,0.6,3.5,2,3,0.33,8189.655172,35.66,20.11862344,16,0.555243971,0.984162762,8802.780922,5312.705934,5122.510839,95.34440879,6.012727273
21,105+05624_AM,105+05624,AM,2016,2,0.348,0.6,3.5,2,3,0.26,8189.655172,33.21,22.80018244,18.972,0.469738031,0.684205051,7574.720792,4453.301025,4271.590075,155.24178,8.045
22,105+05625_AM,105+05625,AM,2016,6,0.348,0.6,3.5,2,3,0.78,8189.655172,39.25,21.98692737,18.034,1.192356688,2.128537526,8843.775375,4702.236328,4499.417868,156.88724,6.898333333
