CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
8321000,Liberty St,100,Valencia St,Guerrero St,12/28/17,Treatment,Yes,Residential
33124000,HUMBOLDT ST,100,VERMONT ST,Intersection,12/27/17,Treatment,No,
51760000,Bay Shore Blvd On Ramp: Hwy 101 S On Ramp \ Potrero Ave Intersection,100,HWY 101 S ON RAMP \ POTRERO AVE,Intersection,12/27/17,Treatment,No,
13219000,Vermont St,100,22nd St,Humboldt St,12/27/17,Treatment,Yes,Residential
13220000,Vermont St,100,Humboldt St,23rd St,12/27/17,Treatment,Yes,Residential
8436000,Lombard St,100,Child St,Julius St,12/18/17,Treatment,Yes,Residential
11583000,Santa Paula Ave,100,Santa Monica Way,Terrace Walk \ Yerba Buena Ave,12/18/17,Treatment,Yes,Residential
13524002,Webster St,100,Rose St,Page St,12/18/17,Treatment,Yes,Arterial
11582000,Santa Paula Ave,100,Portola Dr,Santa Monica Way,12/18/17,Treatment,Yes,Residential
13524001,Webster St,100,Haight St,Rose St,12/18/17,Treatment,Yes,Arterial
8437000,Lombard St,100,Julius St,Grant Ave,12/18/17,Treatment,Yes,Residential
1615000,29th Ave,100,Irving St,Judah St,12/11/17,Treatment,Yes,Residential
1614000,29th Ave,100,Lincoln Way,Irving St,12/11/17,Treatment,Yes,Residential
1480000,26th Ave,100,Kirkham St,Lawton St,12/11/17,Treatment,Yes,Residential
24189000,Alameda St: Potrero Ave Intersection,100,POTRERO AVE,Intersection,12/11/17,Treatment,No,
10659000,Potrero Ave,100,Alameda St,15th St,12/11/17,Treatment,Yes,Arterial
10661000,Potrero Ave,100,16th St,17th St,12/6/17,Treatment,Yes,Arterial
24186000,15th St: Potrero Ave Intersection,100,POTRERO AVE,Intersection,12/6/17,Treatment,No,
10660000,Potrero Ave,100,15th St,16th St,12/6/17,Treatment,Yes,Arterial
9629000,Noe St,83,Jersey St,25th St,11/30/17,Treatment,Yes,Residential
6609000,Haight St,100,Steiner St,Pierce St,11/30/17,Treatment,Yes,Collector
6614000,Haight St,100,Baker St \ Buena Vista Ave,Lyon St,11/30/17,Treatment,Yes,Arterial
1832000,37th Ave,100,Noriega St,Ortega St,11/30/17,Treatment,Yes,Residential
1838000,37th Ave,100,Taraval St,Ulloa St,11/30/17,Treatment,Yes,Residential
6922000,Hill St,94,Sanchez St,Noe St,11/30/17,Treatment,Yes,Residential
4736000,Diamond St,91,17th St,Market St,11/30/17,Treatment,Yes,Residential
6855000,Head St,100,Randolph St,Sargent St,11/30/17,Treatment,Yes,Residential
6607000,Haight St,100,Webster St,Fillmore St,11/30/17,Treatment,Yes,Collector
10502201,Pioche St,75,End,Madison St,11/30/17,Treatment,Yes,Residential
26323000,Haight St: Lyon St Intersection,100,LYON ST,Intersection,11/30/17,Treatment,No,
26033000,Baker St: Buena Vista Ave \ Haight St Intersection,100,BUENA VISTA AVE \ HAIGHT ST,Intersection,11/30/17,Treatment,No,
25867000,Haight St: Laguna St Intersection,100,LAGUNA ST,Intersection,11/30/17,Treatment,No,
25869000,Buchanan St: Haight St Intersection,100,HAIGHT ST,Intersection,11/30/17,Treatment,No,
26034000,Broderick St: Haight St Intersection,100,HAIGHT ST,Intersection,11/30/17,Treatment,No,
26025000,Haight St: Scott St Intersection,100,SCOTT ST,Intersection,11/30/17,Treatment,No,
25999000,Haight St: Pierce St Intersection,100,PIERCE ST,Intersection,11/30/17,Treatment,No,
25993000,Haight St: Steiner St Intersection,100,STEINER ST,Intersection,11/30/17,Treatment,No,
25898000,Haight St: Webster St Intersection,100,WEBSTER ST,Intersection,11/30/17,Treatment,No,
124000,02nd Ave,100,Anza St,Balboa St,11/30/17,Treatment,Yes,Residential
1803000,36th Ave,100,Irving St,Judah St,11/30/17,Treatment,Yes,Residential
1828000,37th Ave,100,Judah St,Kirkham St,11/30/17,Treatment,Yes,Residential
4958000,Douglass St,94,Clipper St,26th St,11/30/17,Treatment,Yes,Residential
1830000,37th Ave,100,Lawton St,Moraga St,11/30/17,Treatment,Yes,Residential
1804000,36th Ave,100,Judah St,Kirkham St,11/30/17,Treatment,Yes,Residential
6613000,Haight St,100,Broderick St,Baker St \ Buena Vista Ave,11/30/17,Treatment,Yes,Arterial
1042000,20th St,93,Vermont St,San Bruno Ave,11/30/17,Treatment,Yes,Residential
6615000,Haight St,100,Lyon St,Buena Vista Ave,11/30/17,Treatment,Yes,Arterial
6605000,Haight St,100,Laguna St,Buchanan St,11/30/17,Treatment,Yes,Collector
1763000,34th Ave,100,Escondido Ave,Clearfield Dr \ Sloat Blvd,11/30/17,Treatment,Yes,Residential
426000,09th Ave,100,Geary Blvd,Anza St,11/30/17,Treatment,Yes,Residential
1566000,27th St,95,Church St,Sanchez St,11/30/17,Treatment,Yes,Residential
6608000,Haight St,100,Fillmore St,Steiner St,11/30/17,Treatment,Yes,Collector
6611000,Haight St,100,Scott St,Divisadero St,11/30/17,Treatment,Yes,Collector
6610000,Haight St,100,Pierce St,Scott St,11/30/17,Treatment,Yes,Collector
6606000,Haight St,100,Buchanan St,Webster St,11/30/17,Treatment,Yes,Collector
6612000,Haight St,100,Divisadero St,Broderick St,11/30/17,Treatment,Yes,Arterial
1648000,30th Ave,100,Lincoln Way,Irving St,11/30/17,Treatment,Yes,Residential
4291000,Columbus Ave,100,Jack Kerouac Aly \ Saroyan Pl,Broadway,11/27/17,Treatment,Yes,Arterial
4288000,Columbus Ave,100,Jackson St,Kearny St,11/27/17,Treatment,Yes,Arterial
4293000,Columbus Ave,100,Grant Ave,Vallejo St,11/27/17,Treatment,Yes,Arterial
4294000,Columbus Ave,100,Vallejo St,Green St \ Stockton St,11/27/17,Treatment,Yes,Arterial
4287000,Columbus Ave,100,Gibb St \ Ils Ln,Jackson St,11/27/17,Treatment,Yes,Arterial
24758000,Columbus Ave: Montgomery St \ Washington St Intersection,100,MONTGOMERY ST \ WASHINGTON ST,Intersection,11/27/17,Treatment,No,
25321000,Broadway: Columbus Ave Intersection,100,COLUMBUS AVE,Intersection,11/27/17,Treatment,No,
25332000,Columbus Ave: Vallejo St Intersection,100,VALLEJO ST,Intersection,11/27/17,Treatment,No,
24794000,Columbus Ave: Jack Kerouac Aly \ Saroyan Pl Intersection,100,JACK KEROUAC ALY \ SAROYAN PL,Intersection,11/27/17,Treatment,No,
24782000,Columbus Ave: Gibb St \ Ils Ln Intersection,100,GIBB ST \ ILS LN,Intersection,11/27/17,Treatment,No,
25352000,Columbus Ave: Green St \ Stockton St Intersection,100,GREEN ST \ STOCKTON ST,Intersection,11/27/17,Treatment,No,
