CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
11691000,Scott St,100,Mcallister St,Golden Gate Ave,8/5/19,Treatment,Yes,Residential
2910000,Belvedere St,100,Parnassus Ave,Grattan St,8/5/19,Treatment,Yes,Residential
2911000,Belvedere St,100,Grattan St,Alma St,8/5/19,Treatment,Yes,Residential
3724000,Carrizal St,100,Velasco Ave,Parque Dr,8/2/19,Treatment,Yes,Residential
20838000,Delta St: Wilde Ave Intersection,100,WILDE AVE,Intersection,8/2/19,Treatment,No,
13630000,Wilde Ave,100,Delta St,Ervine St,8/2/19,Treatment,Yes,Residential
27080000,04th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
27149000,07th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
7283000,Irving St,100,06th Ave,07th Ave,8/1/19,Treatment,Yes,Collector
27154000,09th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
7279000,Irving St,100,02nd Ave,03rd Ave,8/1/19,Treatment,Yes,Collector
7280000,Irving St,100,03rd Ave,04th Ave,8/1/19,Treatment,Yes,Collector
27067000,Arguello Blvd: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
7282000,Irving St,100,05th Ave,06th Ave,8/1/19,Treatment,Yes,Collector
27155000,10th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
27079000,03rd Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
471000,10th Ave,100,Irving St,Judah St,8/1/19,Treatment,Yes,Residential
27083000,05th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
7286000,Irving St,100,09th Ave,10th Ave,8/1/19,Treatment,Yes,Collector
7278000,Irving St,100,Arguello Blvd,02nd Ave,8/1/19,Treatment,Yes,Collector
27068000,02nd Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
7284000,Irving St,100,07th Ave,08th Ave,8/1/19,Treatment,Yes,Collector
7281000,Irving St,100,04th Ave,05th Ave,8/1/19,Treatment,Yes,Collector
27084000,06th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
27150000,08th Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/19,Treatment,No,
432000,09th Ave,100,Irving St,Judah St,8/1/19,Treatment,Yes,Collector
7285000,Irving St,100,08th Ave,09th Ave,8/1/19,Treatment,Yes,Collector
2567000,Avila St,100,Chestnut St,Alhambra St,7/19/19,Treatment,Yes,Residential
3356000,Buchanan St,100,Bay St,North Point St,7/19/19,Treatment,Yes,Residential
10488000,Pine St,100,Pierce St,Scott St,7/19/19,Treatment,Yes,Arterial
26731000,Greenwich St: Laguna St Intersection,100,LAGUNA ST,Intersection,7/19/19,Treatment,No,
26562000,Clay St: Laguna St Intersection,100,LAGUNA ST,Intersection,7/19/19,Treatment,No,
3685000,Capra Way,100,Pierce St,Avila St,7/19/19,Treatment,Yes,Residential
26736000,Buchanan St: Pixley St Intersection,100,PIXLEY ST,Intersection,7/19/19,Treatment,No,
2572000,Avila St,100,Cervantes Blvd,Rico Way,7/19/19,Treatment,Yes,Residential
3354000,Buchanan St,100,Lombard St,Magnolia St,7/19/19,Treatment,Yes,Residential
26606000,Orben Pl: Pine St Intersection,100,PINE ST,Intersection,7/19/19,Treatment,No,
10491000,Pine St,100,Broderick St,Baker St,7/19/19,Treatment,Yes,Arterial
26642000,Pine St: Scott St Intersection,100,SCOTT ST,Intersection,7/19/19,Treatment,No,
26755000,Francisco St: Laguna St Intersection,100,LAGUNA ST,Intersection,7/19/19,Treatment,No,
26985000,Avila St: Rico Way Intersection,100,RICO WAY,Intersection,7/19/19,Treatment,No,
3349000,Buchanan St,100,Union St,Filbert St,7/19/19,Treatment,Yes,Residential
10481000,Pine St,100,Octavia St,Laguna St,7/19/19,Treatment,Yes,Arterial
10487000,Pine St,100,Steiner St,Pierce St,7/19/19,Treatment,Yes,Arterial
10483000,Pine St,100,Buchanan St,Webster St,7/19/19,Treatment,Yes,Arterial
11252000,Sacramento St,100,Octavia St,Laguna St,7/19/19,Treatment,Yes,Residential
26583000,Laguna St: Union St Intersection,100,UNION ST,Intersection,7/19/19,Treatment,No,
26631000,Pine St: Steiner St Intersection,100,STEINER ST,Intersection,7/19/19,Treatment,No,
3344000,Buchanan St,100,Jackson St,Pacific Ave,7/19/19,Treatment,Yes,Residential
11249000,Sacramento St,100,Van Ness Ave,Franklin St,7/19/19,Treatment,Yes,Collector
