Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3843,100611 (3843),1672,810102 (1672),"10/1/2017 - 12/31/2017, Every day, Daily Average",3689,2928,4647
3843,100611 (3843),1705,810092 (1705),"10/1/2017 - 12/31/2017, Every day, Daily Average",3611,2885,4518
3843,100611 (3843),1711,810091 (1711),"10/1/2017 - 12/31/2017, Every day, Daily Average",3614,2886,4524
3843,100611 (3843),1728,810095 (1728),"10/1/2017 - 12/31/2017, Every day, Daily Average",3594,2866,4505
3843,100611 (3843),1740,810072 (1740),"10/1/2017 - 12/31/2017, Every day, Daily Average",3523,2791,4446
3843,100611 (3843),1763,810065 (1763),"10/1/2017 - 12/31/2017, Every day, Daily Average",3344,2703,4136
3843,100611 (3843),1767,810071 (1767),"10/1/2017 - 12/31/2017, Every day, Daily Average",3386,2738,4186
3843,100611 (3843),1790,810066 (1790),"10/1/2017 - 12/31/2017, Every day, Daily Average",3246,2625,4012
3843,100611 (3843),1845,910670 (1845),"10/1/2017 - 12/31/2017, Every day, Daily Average",2418,2011,2906
3843,100611 (3843),1858,809971 (1858),"10/1/2017 - 12/31/2017, Every day, Daily Average",3171,2541,3957
3843,100611 (3843),1887,810051 (1887),"10/1/2017 - 12/31/2017, Every day, Daily Average",3155,2528,3936
3843,100611 (3843),1893,809974 (1893),"10/1/2017 - 12/31/2017, Every day, Daily Average",3094,2473,3870
3843,100611 (3843),1931,810034 (1931),"10/1/2017 - 12/31/2017, Every day, Daily Average",3024,2426,3769
3843,100611 (3843),1954,810005 (1954),"10/1/2017 - 12/31/2017, Every day, Daily Average",2951,2382,3654
3843,100611 (3843),1963,809980 (1963),"10/1/2017 - 12/31/2017, Every day, Daily Average",2902,2353,3578
3843,100611 (3843),1975,80997A (1975),"10/1/2017 - 12/31/2017, Every day, Daily Average",2766,2238,3417
3843,100611 (3843),1977,810014 (1977),"10/1/2017 - 12/31/2017, Every day, Daily Average",2740,2254,3329
3843,100611 (3843),1994,910502 (1994),"10/1/2017 - 12/31/2017, Every day, Daily Average",2420,2002,2925
3843,100611 (3843),2041,910490 (2041),"10/1/2017 - 12/31/2017, Every day, Daily Average",2264,1896,2702
3843,100611 (3843),2089,910513 (2089),"10/1/2017 - 12/31/2017, Every day, Daily Average",2222,1851,2666
3843,100611 (3843),2106,910501 (2106),"10/1/2017 - 12/31/2017, Every day, Daily Average",2350,2080,2654
3843,100611 (3843),2113,910512 (2113),"10/1/2017 - 12/31/2017, Every day, Daily Average",2196,1816,2654
3843,100611 (3843),2129,910552 (2129),"10/1/2017 - 12/31/2017, Every day, Daily Average",2166,1782,2631
3843,100611 (3843),2156,910551 (2156),"10/1/2017 - 12/31/2017, Every day, Daily Average",2102,1726,2559
3843,100611 (3843),2163,910571 (2163),"10/1/2017 - 12/31/2017, Every day, Daily Average",2091,1708,2559
3843,100611 (3843),2169,910592 (2169),"10/1/2017 - 12/31/2017, Every day, Daily Average",2069,1681,2546
3843,100611 (3843),2176,910594 (2176),"10/1/2017 - 12/31/2017, Every day, Daily Average",2084,1701,2551
3843,100611 (3843),2178,910582 (2178),"10/1/2017 - 12/31/2017, Every day, Daily Average",2035,1661,2492
3843,100611 (3843),2214,910581 (2214),"10/1/2017 - 12/31/2017, Every day, Daily Average",1987,1611,2449
3843,100611 (3843),2233,507871 (2233),"10/1/2017 - 12/31/2017, Every day, Daily Average",2164,1480,3162
3843,100611 (3843),2249,910617 (2249),"10/1/2017 - 12/31/2017, Every day, Daily Average",1928,1564,2375
3843,100611 (3843),2266,910615 (2266),"10/1/2017 - 12/31/2017, Every day, Daily Average",1892,1540,2324
3843,100611 (3843),2273,910601 (2273),"10/1/2017 - 12/31/2017, Every day, Daily Average",1891,1534,2330
3843,100611 (3843),2316,507861 (2316),"10/1/2017 - 12/31/2017, Every day, Daily Average",2104,1422,3111
3843,100611 (3843),2318,910641 (2318),"10/1/2017 - 12/31/2017, Every day, Daily Average",1862,1502,2307
3843,100611 (3843),2319,910613 (2319),"10/1/2017 - 12/31/2017, Every day, Daily Average",1810,1465,2234
3843,100611 (3843),2336,910623 (2336),"10/1/2017 - 12/31/2017, Every day, Daily Average",1776,1438,2193
3843,100611 (3843),2355,507862 (2355),"10/1/2017 - 12/31/2017, Every day, Daily Average",2095,1502,2920
3843,100611 (3843),2367,910621 (2367),"10/1/2017 - 12/31/2017, Every day, Daily Average",1721,1427,2075
